,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Agucadoura,PT,41.4318,-8.7804,55.24,91,5,4.65,clear sky
335,Marovoay,MG,-16.1,46.6333,72.9,89,62,4.16,broken clouds
336,Kermen,BG,42.5,26.25,49.82,87,20,4.61,few clouds
337,Ormara,PK,25.2088,64.6357,83.44,77,3,10.71,clear sky
338,Belyy Yar,RU,53.6039,91.3903,48.85,52,0,4.47,clear sky
339,Leh,IN,34.1667,77.5833,44.51,49,0,4.52,clear sky
340,Mantua,IT,45.1667,10.7833,54.64,82,0,3.0,clear sky
341,Gamba,GA,-2.65,10.0,74.79,90,94,4.34,overcast clouds
342,Esmeraldas,BR,-19.7625,-44.3139,67.06,83,0,4.74,clear sky
343,Talnakh,RU,69.4865,88.3972,27.21,100,100,6.58,snow
344,Washougal,US,45.5826,-122.3534,54.03,73,75,4.61,broken clouds
345,Sterling,US,39.0062,-77.4286,47.19,52,20,18.41,few clouds
346,Rockland,US,41.1668,-74.0496,43.03,53,5,5.99,clear sky
347,Maarianhamina,AX,60.0973,19.9348,30.06,86,0,4.61,clear sky
348,Santiago,CL,-33.4569,-70.6483,55.85,78,40,3.44,scattered clouds
349,Chara,RU,56.9064,118.2631,32.76,49,92,4.07,overcast clouds
350,Qasigiannguit,GL,68.8193,-51.1922,32.25,84,100,9.33,overcast clouds
351,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,20,5.75,few clouds
352,Makaha,US,21.4694,-158.2175,82.31,61,75,6.91,light rain
353,Namibe,AO,-15.1961,12.1522,72.64,74,46,3.33,scattered clouds
354,Yulara,AU,-25.2406,130.9889,84.04,23,100,5.75,overcast clouds
355,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,57.87,91,0,4.85,clear sky
356,Umm Lajj,SA,25.0213,37.2685,76.93,75,0,2.33,clear sky
357,Olga,RU,43.7444,135.2892,54.84,27,100,7.34,overcast clouds
358,Iquique,CL,-20.2208,-70.1431,60.84,81,97,1.86,overcast clouds
359,Ayan,RU,56.45,138.1667,36.72,61,100,15.77,overcast clouds
360,Baft,IR,29.234,56.6057,57.81,37,1,2.04,clear sky
361,Faya,SA,18.3851,42.4509,55.51,46,0,4.03,clear sky
362,Shimoda,JP,34.6667,138.95,62.1,62,100,19.86,heavy intensity rain
363,Chernyshevsk,RU,52.5243,117.0174,44.8,34,100,15.32,overcast clouds
364,Dudinka,RU,69.4058,86.1778,27.63,91,83,10.94,broken clouds
365,Denpasar,ID,-8.65,115.2167,83.86,74,20,4.61,few clouds
366,Buala,SB,-8.145,159.5921,85.46,68,21,3.29,moderate rain
367,Salta,AR,-24.7859,-65.4117,62.58,84,40,3.44,scattered clouds
368,Jinxiang,CN,27.4327,120.6062,66.42,80,82,4.41,broken clouds
369,Carnot,CF,4.9409,15.8665,68.9,97,100,1.61,overcast clouds
370,Durres,AL,41.3231,19.4414,48.38,82,8,0.65,clear sky
371,Urambo,TZ,-5.0667,32.05,62.53,96,44,4.54,scattered clouds
372,Livingston,GB,55.9029,-3.5226,35.85,94,0,2.3,clear sky
373,Yumen,CN,40.2833,97.2,56.91,32,100,10.74,overcast clouds
374,Zabol,AF,32.25,67.25,72.39,17,100,2.48,overcast clouds
375,Lalsot,IN,26.5667,76.3333,96.24,12,0,13.15,clear sky
376,Tucuman,AR,-26.8241,-65.2226,57.2,88,75,3.44,broken clouds
377,Kivsharivka,UA,49.6213,37.7036,45.9,88,7,4.72,clear sky
378,Mezen,RU,65.8522,44.24,18.66,82,14,7.63,few clouds
379,Soe,ID,-9.8607,124.284,80.71,54,86,3.65,overcast clouds
380,Nome,US,64.5011,-165.4064,37.17,80,40,5.75,scattered clouds
381,Poum,NC,-20.2333,164.0167,75.31,77,100,21.3,light rain
382,San Clemente,US,33.427,-117.612,61.41,80,49,11.99,scattered clouds
383,Vazante,BR,-17.9869,-46.9078,65.43,67,0,3.04,clear sky
384,Seabra,BR,-12.4186,-41.7703,65.82,96,86,3.53,overcast clouds
385,Kieta,PG,-6.2167,155.6333,85.64,66,12,4.41,light rain
386,Kununurra,AU,-15.7667,128.7333,93.18,43,95,8.05,overcast clouds
387,Fort-Shevchenko,KZ,44.5086,50.263,66.02,44,93,7.45,overcast clouds
388,Marabba,SD,12.35,32.1833,84.56,11,39,6.82,scattered clouds
389,Ivanovka,KG,42.8878,75.085,62.08,45,0,7.38,clear sky
390,Kincardine,GB,56.0667,-3.7167,37.56,82,11,0.47,few clouds
391,Qaqortoq,GL,60.7167,-46.0333,39.76,90,100,8.01,light rain
392,Newport,GB,51.5877,-2.9984,43.34,73,96,10.49,overcast clouds
393,Zeya,RU,53.75,127.2667,45.86,23,45,7.36,scattered clouds
394,Roald,NO,62.5833,6.1333,42.33,75,100,8.05,overcast clouds
395,Yarada,IN,17.65,83.2667,88.12,70,20,11.5,few clouds
396,Ambalavao,MG,-21.8333,46.9333,58.08,95,91,5.1,overcast clouds
397,Date,JP,42.4681,140.8681,50.67,38,36,18.12,scattered clouds
398,Batagay,RU,67.6333,134.6333,19.24,80,100,5.39,overcast clouds
399,Qui Nhon,VN,13.7667,109.2333,84.58,71,84,7.29,broken clouds
400,Yuli,NG,9.6989,10.2744,78.13,76,100,9.26,overcast clouds
401,Nelson Bay,AU,-32.7167,152.15,78.85,83,87,8.01,overcast clouds
402,Wajir,KE,1.7471,40.0573,74.25,91,100,6.93,moderate rain
403,Gavle,SE,60.6745,17.1417,34.36,53,100,1.99,overcast clouds
404,Ushtobe,KZ,45.2514,77.9838,61.29,27,5,3.96,clear sky
405,Batavia,US,41.85,-88.3126,37.2,74,75,16.11,broken clouds
406,Tutoia,BR,-2.7619,-42.2744,76.44,90,98,5.48,overcast clouds
407,San Jose,US,37.3394,-121.895,58.28,58,0,11.5,clear sky
408,Sungaipenuh,ID,-2.0833,101.3833,76.3,70,100,3.87,overcast clouds
409,Pundaguitan,PH,6.3711,126.1689,80.55,76,95,2.19,overcast clouds
410,Mao,ES,39.8885,4.2658,55.96,100,0,6.91,clear sky
411,Nongan,CN,44.382,125.1685,60.39,12,62,9.51,broken clouds
412,Kirkwall,GB,58.9848,-2.9587,39.25,93,67,4.61,broken clouds
413,Tupik,RU,54.4253,119.9327,45.12,25,100,0.51,overcast clouds
414,Richards Bay,ZA,-28.783,32.0377,61.95,82,50,5.95,scattered clouds
415,La Ronge,CA,55.1001,-105.2842,39.42,65,75,10.36,broken clouds
416,Fare,PF,-16.7,-151.0167,81.41,74,4,21.56,light rain
417,Kumla,SE,59.1277,15.1434,36.68,84,22,6.91,few clouds
418,Vrangel,RU,42.7297,133.0839,49.6,49,100,10.27,overcast clouds
419,Oranjestad,AW,12.524,-70.027,80.55,74,20,17.27,few clouds
420,Kidal,ML,18.4411,1.4078,74.95,15,1,10.54,clear sky
421,Senanga,ZM,-16.1167,23.2667,63.48,80,37,6.17,scattered clouds
422,Xai-Xai,MZ,-25.0519,33.6442,66.49,81,83,3.96,light rain
423,Anori,BR,-3.7728,-61.6442,73.62,97,100,2.37,overcast clouds
424,Inhambane,MZ,-23.865,35.3833,68.59,71,41,9.17,scattered clouds
425,Dicabisagan,PH,17.0818,122.4157,86.47,67,16,7.52,few clouds
426,Felanitx,ES,39.4696,3.1483,57.0,69,100,5.68,overcast clouds
427,Krasne,UA,49.9145,24.6134,44.58,82,98,5.86,overcast clouds
428,Dali,CN,25.7,100.1833,72.88,28,0,4.76,clear sky
429,Meulaboh,ID,4.1363,96.1285,83.61,75,88,0.85,overcast clouds
430,Caconda,AO,-13.7333,15.0667,57.69,77,35,4.65,scattered clouds
431,Salisbury,GB,51.0693,-1.7957,43.09,82,100,6.91,overcast clouds
432,Kondinskoye,RU,59.6481,67.41,46.49,94,99,1.83,overcast clouds
433,Minab,IR,27.1467,57.0801,77.32,44,20,2.3,haze
434,Trat,TH,12.5,102.5,89.8,67,79,3.47,broken clouds
435,Evensk,RU,61.95,159.2333,35.91,93,100,26.96,overcast clouds
436,Karera,IN,25.4667,78.15,98.22,12,1,6.02,clear sky
437,Skjervoy,NO,70.0311,20.9714,24.8,60,100,24.05,light snow
438,Darnah,LY,32.767,22.6367,60.71,65,1,3.09,clear sky
439,Kargasok,RU,59.0556,80.8572,53.49,66,100,14.88,overcast clouds
440,Manokwari,ID,-0.8667,134.0833,84.11,68,93,5.68,heavy intensity rain
441,San Francisco,US,37.7749,-122.4194,58.28,74,75,33.38,broken clouds
442,Milove,UA,49.3787,40.1302,45.93,80,4,6.38,clear sky
443,Cidreira,BR,-30.1811,-50.2056,70.65,95,11,1.12,few clouds
444,Bud,US,39.447,-86.1758,51.82,67,89,8.93,overcast clouds
445,Dunedin,NZ,-45.8742,170.5036,60.8,55,61,4.0,broken clouds
446,Saint-Francois,FR,46.4154,3.9054,41.68,100,0,2.3,clear sky
447,Kahului,US,20.8947,-156.47,82.42,64,40,19.57,scattered clouds
448,Ternovskaya,RU,45.8542,40.4086,53.17,84,62,7.16,broken clouds
449,Winnipeg,CA,49.8844,-97.147,42.78,47,75,10.36,broken clouds
450,Flin Flon,CA,54.7682,-101.865,32.07,88,81,9.89,broken clouds
451,Sulphur Springs,US,33.1385,-95.6011,66.15,52,0,6.91,clear sky
452,Laela,TZ,-8.5667,32.05,59.59,94,97,6.51,overcast clouds
453,Markova,UA,48.6758,24.4138,45.25,95,100,2.13,overcast clouds
454,Yerbogachen,RU,61.2767,108.0108,37.74,58,59,4.9,broken clouds
455,Safaga,EG,26.7292,33.9365,74.59,44,0,8.93,clear sky
456,Doha,QA,25.2867,51.5333,80.58,66,0,8.05,clear sky
457,Canico,PT,32.6333,-16.85,61.43,79,40,9.22,scattered clouds
458,Igarka,RU,67.4667,86.5833,32.88,100,100,5.7,light snow
459,Kashi,CN,39.4547,75.9797,63.61,15,0,4.47,clear sky
460,Harwich,GB,51.9419,1.2844,45.57,75,33,4.0,scattered clouds
461,Brae,GB,60.3964,-1.353,43.45,69,100,6.22,overcast clouds
462,Taywarah,AF,33.35,64.4167,58.42,33,62,2.62,broken clouds
463,Varkaus,FI,62.3153,27.873,22.3,72,38,3.47,scattered clouds
464,Odweyne,SO,9.4092,45.064,75.33,55,100,14.76,overcast clouds
465,Cacu,BR,-18.5567,-51.1308,74.5,52,73,2.91,broken clouds
466,Samalkha,IN,29.2333,77.0167,96.73,10,0,6.51,clear sky
467,Beringovskiy,RU,63.05,179.3167,31.77,98,100,6.6,light snow
468,Burley,US,42.5357,-113.7928,57.16,40,0,11.5,clear sky
469,Khorinsk,RU,52.1657,109.7726,41.02,34,14,17.94,few clouds
470,Hornepayne,CA,49.2138,-84.7705,20.25,95,14,2.01,few clouds
471,Haifa,IL,32.8156,34.9892,60.17,88,0,2.8,clear sky
472,Madona,LV,56.8533,26.217,28.71,67,60,3.74,broken clouds
473,Saint-Augustin,CA,51.226,-58.6502,34.18,99,100,7.58,snow
474,Rioblanco,CO,3.5308,-75.6806,61.18,90,78,4.56,broken clouds
475,Novikovo,RU,51.1537,37.8879,44.53,88,10,4.23,clear sky
476,Millinocket,US,45.6573,-68.7098,41.11,81,100,17.27,overcast clouds
477,Mapiripan,CO,2.8892,-72.1256,72.46,97,85,2.77,overcast clouds
478,Posse,BR,-14.0931,-46.3694,67.53,55,3,5.86,clear sky
479,Candido Mendes,BR,-1.4467,-45.7167,74.12,96,95,2.44,overcast clouds
480,Laizhou,CN,37.1717,119.9214,56.55,50,100,19.06,overcast clouds
481,Aykhal,RU,66.0,111.5,27.68,83,72,13.51,broken clouds
482,Pokrovsk,UA,48.282,37.1758,46.31,86,11,6.04,few clouds
483,Ewo,CG,-0.8725,14.8206,71.85,94,77,2.73,broken clouds
484,Flinders,AU,-34.5833,150.8552,72.18,85,61,8.01,light rain
485,Tommot,RU,58.9564,126.2925,32.11,57,100,7.45,overcast clouds
486,La Primavera,CO,5.4906,-70.4092,73.85,93,100,3.24,overcast clouds
487,Qujing,CN,25.4833,103.7833,76.57,22,0,12.66,clear sky
488,Mwinilunga,ZM,-11.7358,24.4293,59.49,84,60,6.85,broken clouds
489,Kaseda,JP,31.4167,130.3167,73.08,77,81,6.44,broken clouds
490,Areosa,PT,41.7178,-8.8571,51.8,90,1,4.63,clear sky
491,Berlevag,NO,70.8578,29.0864,23.0,61,100,30.53,light snow
492,Omboue,GA,-1.5746,9.2618,75.27,93,92,5.1,light rain
493,Isangel,VU,-19.55,169.2667,78.89,75,100,16.46,overcast clouds
494,Bourail,NC,-21.5667,165.4833,76.82,63,100,6.4,overcast clouds
495,Maragogi,BR,-9.0122,-35.2225,77.5,82,98,3.24,overcast clouds
496,Ahipara,NZ,-35.1667,173.1667,61.9,81,81,6.13,broken clouds
497,Anadyr,RU,64.75,177.4833,32.5,86,75,20.13,broken clouds
498,Isilkul,RU,54.9109,71.2728,63.14,58,92,15.05,overcast clouds
499,Mundargi,IN,15.2167,75.9,86.11,55,37,10.71,scattered clouds
500,Nyazepetrovsk,RU,56.0531,59.6028,57.52,66,100,13.8,overcast clouds
501,Ahuimanu,US,21.4447,-157.8378,82.11,72,100,11.5,overcast clouds
502,Massaguet,TD,12.4755,15.4365,87.98,38,100,12.95,overcast clouds
503,Ponta Delgada,PT,37.7333,-25.6667,67.5,94,75,17.27,broken clouds
504,Barcelos,PT,41.5388,-8.6151,54.84,95,3,3.29,clear sky
505,Greenville,US,35.6127,-77.3663,62.13,34,0,5.75,clear sky
506,Papara,BR,-3.9839,-38.7273,79.2,93,91,2.64,overcast clouds
507,San Patricio,US,28.017,-97.5169,75.83,83,26,9.13,scattered clouds
508,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,12.66,broken clouds
509,Burriana,ES,39.889,-0.085,58.66,94,100,2.53,overcast clouds
510,Marienburg,PL,54.0359,19.0266,42.12,81,98,5.82,overcast clouds
511,Coria,ES,39.9879,-6.5377,49.44,87,6,2.93,clear sky
512,Lahij,YE,13.1667,44.5833,74.44,82,10,4.14,clear sky
513,Tabas,IR,33.5959,56.9244,68.22,45,0,4.61,clear sky
514,Pokrovskoye,RU,47.4157,38.8971,51.03,82,0,7.07,clear sky
515,Lydenburg,ZA,-25.0978,30.4597,45.19,95,5,0.92,clear sky
516,Lao Cai,VN,22.4833,103.95,92.41,51,17,3.65,few clouds
517,Visnes,NO,59.3556,5.2242,42.85,70,63,14.97,broken clouds
518,Vanavara,RU,60.34,102.2797,40.14,60,99,6.13,overcast clouds
519,Upington,ZA,-28.4478,21.2561,55.78,67,0,8.05,clear sky
520,Sol-Iletsk,RU,51.1631,54.9918,58.77,58,99,13.31,overcast clouds
521,Ilulissat,GL,69.2167,-51.1,35.49,81,100,8.16,overcast clouds
522,Knysna,ZA,-34.0363,23.0471,60.12,39,0,4.05,clear sky
523,Sinegorskiy,RU,48.0139,40.8447,50.9,85,0,7.58,clear sky
524,Udachnyy,RU,66.4167,112.4,29.55,90,84,9.35,broken clouds
525,Craig,US,40.5153,-107.5464,58.62,30,0,9.22,clear sky
526,Zorritos,PE,-3.6805,-80.6782,75.49,82,83,4.99,broken clouds
527,Sumbe,AO,-11.2061,13.8437,75.81,90,80,8.57,light rain
528,Agadez,NE,19.75,10.25,78.19,11,0,9.57,clear sky
529,Namatanai,PG,-3.6667,152.4333,86.36,62,75,8.21,broken clouds
530,Fatehpur,IN,25.9333,80.8,101.43,8,0,6.35,clear sky
531,Camacupa,AO,-12.0167,17.4833,58.15,84,9,3.47,clear sky
532,Mackay,AU,-21.15,149.2,80.69,73,100,18.41,overcast clouds
533,Timmins,CA,48.4669,-81.3331,28.22,37,0,6.91,clear sky
534,Andra,RU,62.5147,65.8878,35.83,90,99,2.13,overcast clouds
535,Enshi,CN,30.3,109.4833,67.06,99,100,2.17,overcast clouds
536,Troitsko-Pechorsk,RU,62.7084,56.1964,27.03,82,100,11.32,overcast clouds
537,Nemuro,JP,43.3236,145.575,42.67,62,65,14.63,broken clouds
538,Grand-Santi,GF,4.25,-54.3833,73.92,97,100,2.33,light rain
539,Yinchuan,CN,38.4681,106.2731,56.97,38,0,6.49,clear sky
540,Mbamba,NG,9.9833,13.1,77.14,63,98,1.03,overcast clouds
541,Rudiskes,LT,54.5167,24.8333,33.03,72,73,4.43,broken clouds
542,Chak Azam Sahu,PK,30.75,73.0333,97.88,10,0,5.03,clear sky
543,Okhotsk,RU,59.3833,143.3,33.85,54,100,15.95,overcast clouds
544,Warrnambool,AU,-38.3833,142.4833,67.8,68,100,10.54,light rain
545,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,100,100,5.75,overcast clouds
546,Luderitz,NA,-26.6481,15.1594,63.27,57,0,5.7,clear sky
547,Lata,PT,40.1629,-8.3327,53.08,99,29,1.52,scattered clouds
548,Khani,GE,41.9563,42.9566,38.77,77,96,2.1,overcast clouds
549,Catalina Foothills,US,32.2979,-110.9187,84.29,10,0,12.66,clear sky
550,Pochutla,MX,15.7432,-96.4661,82.81,72,42,3.18,scattered clouds
551,Opuwo,NA,-18.0607,13.84,67.42,42,49,3.76,scattered clouds
552,Altamont,US,42.2068,-121.7372,53.44,43,0,9.22,clear sky
553,Benguela,AO,-12.5763,13.4055,75.22,81,14,3.91,few clouds
554,Winona,US,43.9666,-91.7668,40.93,52,0,10.36,clear sky
555,Koungou,YT,-12.7336,45.2042,82.11,78,75,18.41,light rain
556,Talavera,PH,15.6167,120.9333,94.86,43,88,10.49,overcast clouds
557,Bahia De Caraquez,EC,-0.6,-80.4167,78.98,85,98,6.38,overcast clouds
558,Piacabucu,BR,-10.4056,-36.4344,76.06,85,97,1.63,overcast clouds
559,Dodge City,US,37.7528,-100.0171,64.69,82,75,26.46,broken clouds
560,Sao Filipe,CV,14.8961,-24.4956,71.28,70,4,10.38,clear sky
561,Waipawa,NZ,-41.4122,175.5153,54.61,63,43,5.3,scattered clouds
562,Mahibadhoo,MV,3.7833,72.9667,84.49,71,5,6.04,clear sky
563,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,94,100,19.57,overcast clouds
564,Belmonte,BR,-15.8631,-38.8828,75.96,86,9,8.25,clear sky
565,Vitim,RU,59.4511,112.5578,38.98,53,13,8.61,few clouds
566,Imbituba,BR,-28.24,-48.6703,74.86,86,56,10.13,broken clouds
567,Havelock,US,34.8791,-76.9013,63.93,65,0,5.75,clear sky
568,Sorrento,IT,40.626,14.3744,62.65,76,32,1.01,scattered clouds
569,Eydhafushi,MV,5.1033,73.0708,84.65,69,44,4.32,light rain
570,Zar,AM,40.2588,44.732,44.62,62,74,4.54,broken clouds
571,Kalaleh,IR,37.3807,55.4916,58.6,94,20,0.0,few clouds
572,Ust-Nera,RU,64.5667,143.2,22.3,72,100,5.75,overcast clouds
573,Voi,KE,-3.3945,38.563,70.27,91,68,5.26,broken clouds
574,Labuhan,ID,-6.8844,112.2051,80.87,81,100,3.67,overcast clouds
575,Quatre Cocos,MU,-20.2078,57.7625,73.09,80,1,2.84,clear sky
576,Den Helder,NL,52.9599,4.7593,48.18,68,100,10.0,overcast clouds
577,Basco,PH,20.4487,121.9702,82.71,82,18,16.71,few clouds
578,Vidim,RU,56.4088,103.1106,40.75,57,13,2.51,few clouds
579,Turukhansk,RU,65.8167,87.9833,33.13,98,100,12.66,overcast clouds
580,Domoni,KM,-12.2569,44.5319,79.99,83,99,10.49,overcast clouds
581,Christiana,ZA,-27.914,25.1611,51.8,61,2,8.43,clear sky
582,Aragats,AM,40.4889,44.3528,40.57,73,21,2.91,few clouds
583,Labytnangi,RU,66.6572,66.4183,21.31,86,96,5.19,overcast clouds
584,Belaya Gora,RU,68.5333,146.4167,19.63,82,100,6.6,overcast clouds
585,Nadvoitsy,RU,63.8667,34.3167,25.05,80,100,5.64,overcast clouds
586,The Valley,AI,18.217,-63.0578,76.82,61,34,13.56,scattered clouds
587,Lorengau,PG,-2.0226,147.2712,86.31,69,85,9.78,overcast clouds
588,Nizwa,OM,22.9333,57.5333,82.72,41,0,1.79,clear sky
589,Moundsville,US,39.9203,-80.7431,37.24,73,5,5.59,clear sky
590,Asyut,EG,27.181,31.1837,71.78,24,0,4.65,clear sky
591,Phalodi,IN,27.1333,72.3667,92.34,19,0,10.85,clear sky
592,Freeport,US,40.6576,-73.5832,45.01,49,0,16.11,clear sky
593,San Vicente,AR,-26.6167,-54.1333,72.64,72,19,6.29,few clouds
594,Solnechnyy,RU,50.7214,136.6319,35.71,83,43,11.07,scattered clouds
595,Olginskaya,RU,47.1879,39.9492,54.93,63,0,6.71,clear sky
596,Porangatu,BR,-13.4408,-49.1486,69.37,74,21,2.59,few clouds
597,Beyneu,KZ,45.3167,55.2,65.8,35,42,12.66,scattered clouds
598,Salalah,OM,17.0151,54.0924,80.04,81,36,2.46,scattered clouds
599,Abeche,TD,13.8292,20.8324,83.5,45,100,8.08,overcast clouds
600,Peleduy,RU,59.6289,112.7406,38.79,54,12,7.99,few clouds
601,Estacion Coahuila,MX,32.1939,-115.0017,79.48,23,0,16.35,clear sky
602,Mayumba,GA,-3.432,10.6554,76.42,90,93,4.34,overcast clouds
603,Baran,IN,25.1,76.5167,96.15,12,2,12.88,clear sky
604,Leninsk-Kuznetskiy,RU,54.6567,86.1737,55.38,44,12,7.72,few clouds
605,Sinegorye,RU,62.0788,150.477,19.27,88,100,9.62,light snow
606,Rock Falls,US,41.7798,-89.689,39.2,68,100,20.71,overcast clouds
607,Guerrero Negro,MX,27.9769,-114.0611,60.51,84,0,16.73,clear sky
608,Pangnirtung,CA,66.1451,-65.7125,3.15,73,75,10.22,broken clouds
609,Guilin,CN,25.2819,110.2864,82.51,78,90,8.23,overcast clouds
610,Vorontsovka,RU,50.6132,40.3549,45.66,82,6,3.49,clear sky
611,Springbok,ZA,-29.6643,17.8865,60.46,34,0,5.88,clear sky
612,Bella Union,UY,-30.2752,-57.6007,65.52,96,79,5.14,broken clouds
613,Bima,ID,-8.4667,118.7167,87.48,58,10,3.62,clear sky
614,Sambava,MG,-14.2667,50.1667,72.48,88,41,3.65,scattered clouds
615,Santa Rosa,PH,14.3122,121.1114,93.11,66,100,16.82,overcast clouds
616,Bonthe,SL,7.5264,-12.505,79.9,84,100,4.63,overcast clouds
617,Zeerust,ZA,-25.5369,26.0751,51.44,94,5,5.06,clear sky
618,Paramonga,PE,-10.6667,-77.8333,66.83,88,100,7.27,overcast clouds
619,Hobyo,SO,5.3505,48.5268,83.19,74,47,6.49,scattered clouds
620,Abnub,EG,27.2696,31.1511,71.82,25,0,4.41,clear sky
621,Mitu,CO,1.1983,-70.1733,71.19,98,71,1.86,light rain
622,Kilakarai,IN,9.2333,78.7833,86.68,67,42,7.18,moderate rain
623,Hami,CN,42.8,93.45,64.74,16,100,12.26,overcast clouds
624,Warri,NG,5.5167,5.75,72.77,96,100,4.14,light rain
625,Darhan,MN,49.4867,105.9228,41.92,29,99,11.99,overcast clouds
626,Keita,NE,14.7551,5.7749,81.55,18,100,5.73,overcast clouds
627,Caxito,AO,-8.5785,13.6643,73.92,98,97,3.2,overcast clouds
628,Deori,IN,21.45,82.6167,100.02,11,0,1.19,clear sky
629,Hokitika,NZ,-42.7167,170.9667,62.51,70,57,5.59,broken clouds
630,Kenai,US,60.5544,-151.2583,53.02,46,0,11.5,clear sky
631,Atikokan,CA,48.7555,-91.6216,24.01,96,9,4.32,clear sky
632,Walvis Bay,NA,-22.9575,14.5053,61.75,67,2,4.61,clear sky
633,Kuragino,RU,53.8975,92.6725,50.54,51,93,4.34,overcast clouds
634,Shitanjing,CN,39.2342,106.3439,54.27,33,0,4.14,clear sky
635,Maunabo,PR,18.0072,-65.8993,75.02,78,1,9.69,clear sky
636,Zigong,CN,29.3416,104.7769,67.82,68,100,6.58,overcast clouds
637,Kilindoni,TZ,-7.9139,39.6668,80.28,80,100,19.01,moderate rain
638,Mitsamiouli,KM,-11.3847,43.2844,80.73,77,100,12.06,overcast clouds
639,Stockerau,AT,48.383,16.1996,47.21,84,13,5.99,few clouds
640,Wolfsburg,DE,52.4333,10.8,42.39,93,17,4.41,few clouds
641,Dukat,RU,62.55,155.55,24.06,89,100,9.82,overcast clouds
642,Korla,CN,41.7597,86.1469,52.5,57,100,21.9,overcast clouds
643,Montes Altos,BR,-5.8333,-47.0667,73.47,85,100,2.95,overcast clouds
644,Badami,IN,15.915,75.6768,89.92,43,33,9.48,scattered clouds
645,Ijuin,JP,31.6167,130.4,73.51,70,95,3.76,overcast clouds
646,Rongcheng,CN,30.634,117.8517,66.6,80,97,3.56,overcast clouds
647,Gouyave,GD,12.1646,-61.7296,77.77,89,40,0.0,scattered clouds
648,Skelleftea,SE,64.7507,20.9528,25.16,74,84,4.61,broken clouds
649,Nishihara,JP,26.1842,127.7558,83.86,83,75,13.8,broken clouds
650,Vihti,FI,60.417,24.3197,30.78,73,0,4.0,clear sky
651,Iquitos,PE,-3.7481,-73.2472,77.04,94,40,3.44,moderate rain
652,Kuvshinovo,RU,57.0295,34.1725,29.64,78,48,2.01,scattered clouds
653,Shingu,JP,33.7333,135.9833,63.88,87,100,10.29,overcast clouds
654,Vanimo,PG,-2.6741,141.3028,86.47,66,98,6.85,overcast clouds
655,Fershampenuaz,RU,53.5202,59.8117,58.08,51,100,15.86,overcast clouds
656,Aasiaat,GL,68.7098,-52.8699,24.4,93,100,11.07,overcast clouds
657,Risor,NO,58.7206,9.2342,36.28,77,35,4.32,scattered clouds
658,Mach,PK,29.8637,67.3298,87.89,12,32,2.77,scattered clouds
659,Mortka,RU,59.3322,66.0214,49.69,90,100,3.06,overcast clouds
660,Gasa,PS,31.5,34.4667,60.87,79,0,3.96,clear sky
661,Manaure,CO,11.7751,-72.4445,79.68,72,99,16.53,overcast clouds
662,Berettyoujfalu,HU,47.2167,21.55,51.94,93,100,8.48,light rain
663,Fernie,CA,49.5,-115.0687,44.69,89,60,2.55,broken clouds
664,Port Pirie,AU,-33.1833,138.0167,77.09,39,49,17.07,scattered clouds
665,Zyryanka,RU,65.75,150.85,24.21,79,100,12.53,overcast clouds
666,Mecca,SA,21.4267,39.8261,80.74,47,60,8.1,light rain
667,Karaidel,RU,55.8337,56.9069,55.06,81,100,16.78,light rain
668,Camana,PE,-16.6228,-72.7111,66.79,88,59,7.52,broken clouds
669,Edd,ER,13.9297,41.6925,86.76,59,22,17.02,few clouds
670,Nikki,BJ,9.9401,3.2108,76.89,73,98,11.01,overcast clouds
671,La Union,PE,-5.4,-80.75,71.06,70,99,14.45,overcast clouds
